number,text,sentiment,sentiment_score,stance,stance_score
85,すげえスペック高そうな選手だが ちょっと遅咲きぽいのはなんでだろな,NEUTRAL (0.368),0.368,強く反対 (0.299),0.299
86,ダニーロボザが前に進みたくても バックパス横パスを繰り返す西川マリウス石原安居にビックリするだろうな,NEGATIVE (0.065),0.065,強く反対 (0.269),0.269
87,スペック的には弱点がないなダニーロボザ ボールはちょっと持ちすぎかもしれない 西川マリウス安居が下手くそだから 上手く反応できないかもな,NEUTRAL (0.007),0.007,強く反対 (0.277),0.277
88,今のところポジ要素しかないな ただ本当にそんなスーパーな選手ならこの年齢までヨーロッパ行ってない筈ないとも思うが 脚の速さ意外は多少割り引いて考えてもいいかもしれん,NEUTRAL (0.547),0.547,強く反対 (0.250),0.25
89,ブラジル1部で活躍したのは2023年からだから 微妙な可能性もあるな 遅咲きならいいが,NEUTRAL (0.360),0.36,強く反対 (0.301),0.301
90,怪しそうだけど大丈夫,POSITIVE (0.371),0.371,強く反対 (0.293),0.293
91,前にフィード蹴るタイプなのに パス成功数91もあるやんけ,NEGATIVE (0.528),0.528,強く反対 (0.264),0.264
92,地上戦の数値低すぎる,NEGATIVE (0.972),0.972,強く反対 (0.283),0.283
93,地上の対人が超苦手だが空中戦は超得意みたいだな,NEUTRAL (0.939),0.939,強く反対 (0.306),0.306
94,データの見方間違ってる パーセンタイルというのは全選手中で何パーセントかという順位で13になっているのは地上戦回数 地上戦は主に中盤で発生するのでCBは数値が低くなるという数字のマジックにすぎない 割合で確認してみれば69戦42勝だから勝率は60強 32試合やってドリブルで抜かれた回数4回だけなのでかなり硬いよ,NEUTRAL (0.081),0.081,強く反対 (0.298),0.298
95,ダニーロのプレー集見てフィードが既視感あるなと思ったら航だわ 航のフィードを思い出した サヴィオ金子松尾と相性良さそう,POSITIVE (0.846),0.846,強く反対 (0.277),0.277
96,ダニーロとれれば今冬全体で80点はあげられるかも 右SBで90点 CFで100点,NEUTRAL (0.557),0.557,強く反対 (0.236),0.236
97,ダニーロボザのここ2年のプレー集とスタッツは申し分ないんだが 何故今まで頭角を出さなかったのか気になる ポルトガルで失敗してるし 大事なのは今だからいいんだけど ポカミス多い系なのかも,NEGATIVE (0.001),0.001,強く反対 (0.265),0.265
98,ダニーロボザのプレイ動画観たけどプレス受けてもかわせるしドリブルやワンツーでどんどん前に持っていけるね 日本ならこれくらい足元上手ければボランチで考えたくなるレベル新潟とか鹿島に居たレオシルバのDF版って感じがする,POSITIVE (0.333),0.333,強く反対 (0.270),0.27
99,ダニーロボザブラジル一部でバリバリ稼働してるん,NEUTRAL (0.701),0.701,強く反対 (0.266),0.266
100,全国選手権32試合だからほぼフル出場やろ たしかいまの全国選手権は20チームのHA総当りで38試合だったはず,NEUTRAL (0.763),0.763,強く反対 (0.231),0.231
1,一部は今季からで主力 ただそれまでは二部みたいだな 今が登り始めなら良いな,POSITIVE (0.444),0.444,強く反対 (0.263),0.263
2,内容,NEUTRAL (0.874),0.874,強く反対 (0.249),0.249
3,フランクフルトU21でアシスタントコーチを務める長谷部誠氏(40)が12日さいたま市内で取材に応じ日本代表が歴代最強と称されることに対する違和感を口にした 昨年9月から日本代表コーチを兼任するが歴代最強とか言うのは基本的には好きではない日本サッカーをつくってくださった先輩方の力がなければ自分も海外でプレーするとか海外で指導するとか そういうチャレンジはできていないと思うそういう先輩方へのリスペクトが常に頭にあるのでそういうこと(歴代最強)はまったく思わないと強調した W杯アジア最終予選でC組の日本代表は5勝1分けの無敗で首位を快走3月20日のバーレーン戦に勝てば3試合を残して8大会連続の本大会出場が決まる長谷部氏は自分は日本代表の肩書を名乗るのが失礼なぐらいの働きしかできていないと思っているが レベルの高い選手を見られることはすごく刺激になる監督やコーチングスタッフテクニカルスタッフと時間を共にしてコミュニケーションを取れるのは本当にありがたい 指導者1年目にレベルの違う2つのチーム(日本代表とフランクフルトU21)を見られるのは本当にありがたい環境と感謝した この日は浦和駒場スタジアムで開催されたフランクフルトと浦和によるサッカー教室に参加小学36年生の50人に座学ピッチ上でのトレーニングで指導し自分は熱量をグラウンドに持ち込める指導者に魅力を感じていたので 今はそういうところにトライしているJリーグそして世界で活躍する選手がこの中から出てきてくれればうれしいと期待した,POSITIVE (0.737),0.737,強く反対 (0.267),0.267
4,そりゃプレーヤー本人たちからしたら先輩を差し追いて歴代最強とか言うのは気が引けるだろう 見てる周りからしたら歴代最強だよなぁって完全な第三者目線のはなしだからな,NEUTRAL (0.570),0.57,強く反対 (0.265),0.265
5,だから当事者としては思わないよってだけやん,NEGATIVE (0.861),0.861,強く反対 (0.280),0.28
6,中田と小野と名波と中村がいた昔の方が中盤はレベルが高かったね,NEUTRAL (0.372),0.372,強く反対 (0.270),0.27
7,その辺は守備の強度がね・・・ 攻撃のアイデアは上だと思うけど,NEUTRAL (0.699),0.699,強く反対 (0.280),0.28
8,黄金世代は司令塔が四人いたようなもんだしな,NEUTRAL (0.609),0.609,強く反対 (0.263),0.263
9,さすが真面目なキャプテン長谷部誠や 先輩方歴史への敬意がまず念頭にある,NEUTRAL (0.308),0.308,強く反対 (0.257),0.257
10,当事者が言うならともかく外野が言う分にはいいじゃん,POSITIVE (0.877),0.877,強く反対 (0.265),0.265
11,GK 川口 DF 中澤 MF 中田英 FW 久保竜 ここらへんに勝てる選手が未だに出てこない,NEGATIVE (0.720),0.72,強く反対 (0.290),0.29
12,久保竜とか怪我で全然あかんヤツ 中澤も基本的には遅い,NEUTRAL (0.421),0.421,強く反対 (0.259),0.259
13,当時としては国の最高峰だと思うけど全員とっくに超えてると思う,NEUTRAL (0.945),0.945,強く反対 (0.267),0.267
14,まあ先達の無様を見れた事で自身のスタートラインが前に進んだところから始まったわけだからね 同じだけの努力をすれば過去の名選手より順当に良い結果を得られる その原理を理解していれば俺最強なんてとても不遜に思えて言えんわな さすが長谷部よ,NEGATIVE (0.940),0.94,賛成 (0.257),0.257
15,クラブと違って代表は選手買ってくるとかできねえから 育成の結果が出るまで気の遠くなる長い時間がかかる 長谷部が言いたいのはそういうことだと思う,NEGATIVE (0.225),0.225,強く反対 (0.262),0.262
16,一昔前の代表が一番面白かったなドーハ南アの代表までは親善すら大半の試合は見てた 最近は見ることもなくなったけど 今の代表強いかもしれんけど華が全然なくて魅力を感じない,NEGATIVE (0.891),0.891,強く反対 (0.264),0.264
17,中田がいなきゃ香川はいないし 香川がいなきゃドイツにここまで日本人選手はいなかっただろうし,NEUTRAL (0.522),0.522,強く反対 (0.266),0.266
18,現在のサッカーは中田がスタートかもなあ カズや奥寺とかは残念ながら今の選手の流れの基礎とは言い難い,NEGATIVE (0.887),0.887,強く反対 (0.284),0.284
19,Jリーグスタートしてから初めて世界最高峰リーグで成功したのが中田ヒデだからね JSL時代の奥寺は突然変異みたいなもんで後が続かなかったしカズの場合は実父が現地で代理人やっててマネジメントは全てお任せだったし,NEUTRAL (0.541),0.541,強く反対 (0.280),0.28
20,まあカズはJリーグを盛り立てた功労者だから まあそれはそれで,POSITIVE (0.176),0.176,強く反対 (0.270),0.27
21,個人的には現在のサッカーは奥寺がスタートだと思う 奥寺の後に尾崎と風間が続いた(風間はブンデス2部と3部でしかプレーしてないが) 日本サッカーとJリーグはドイツサッカー(協会)やブンデスを教科書にして発展してきた 5大リーグの中で日本人選手が1番たくさんプレーしてきたのはブンデスだし ブンデスと日本人は相性が良く日本人選手として初めてヨーロッパのリーグで活躍したのが奥寺(ブンデス)なのも必然,POSITIVE (0.373),0.373,強く反対 (0.278),0.278
22,今が普通に歴代最強だと思うがもうピークは過ぎた感じする 冨安は怪我でいないのがデフォだし遠藤伊東三笘とかの中心選手も衰えが見える,NEUTRAL (0.018),0.018,強く反対 (0.283),0.283
23,ウイングは歴代最強 だけどぶっちゃけよく考えたらそこだけなんだよな FWもセンターのMFもSBもCBもそこまでじゃないし,NEGATIVE (0.344),0.344,強く反対 (0.261),0.261
24,いやCBも間違いなく歴代最高だろ 冨安はもちろん日本サッカー史上の最高のDFだし板倉町田伊藤谷口と層も厚くて一人や二人抜けても大崩れしない ボランチも控えが薄いけどレギュラーの遠藤守田のコンビはやっぱり歴代最高だと思うぞ,POSITIVE (0.943),0.943,強く反対 (0.245),0.245
25,CFとしても高原より上がいるかと言われたらまあ微妙,NEGATIVE (0.511),0.511,強く反対 (0.305),0.305
26,高原よりも岡崎と大迫の方が上だと思うぞ まあ今の代表の選手でないが,NEUTRAL (0.803),0.803,強く賛成 (0.249),0.249
27,部分的には岡崎のが上はあるが 大迫が上は100ない,NEUTRAL (0.602),0.602,強く反対 (0.259),0.259
28,いやいや大迫みたいにワントップこなせる日本人FWは他にいないよ 競えるとしたら本職じゃない本田くらいじゃない 岡崎は実績がケタ外れで部分的にではなく総合的に21世紀では最強の日本人FW カズや釜本の全盛期知らんから歴代最強とまでは言い切れないが,POSITIVE (0.020),0.02,強く反対 (0.270),0.27
29,三笘伊東がキレキレだった時は歴代最強だったけどその生命線の二人がここ2年でだいぶパフォ落ちてきてるからチームのピークは過ぎてるわな,NEUTRAL (0.105),0.105,強く反対 (0.271),0.271
30,しかもWBで使いやがるからなあ,NEUTRAL (0.978),0.978,強く反対 (0.289),0.289
31,今の代表に入れそうな過去の代表選手 FW岡崎大迫高原 MF中田香川本田長谷部 DF内田釣男 GK該当者なし,NEGATIVE (0.266),0.266,強く反対 (0.228),0.228
32,さすがに全盛期川島は谷大迫より上だろ,NEUTRAL (0.623),0.623,強く反対 (0.251),0.251
33,長友酒井も楽勝だろう,POSITIVE (0.783),0.783,強く反対 (0.289),0.289
34,ジーコジャパンやザックジャパンを見ているとアジア杯で優勝しない方がいい気がする 04年や11年のアジアカップはどっちもすごく面白かったが,POSITIVE (0.802),0.802,強く反対 (0.260),0.26
35,W杯翌年のアジアカップで好成績残すとチームの成熟が早すぎてそこからピークアウトしちゃうんだよね 3年も経てば劣化した選手も出てくるのに世代交代しづらくなる,NEGATIVE (0.343),0.343,強く反対 (0.266),0.266
36,それとこれとは別 長谷部だって先輩だろうが必要とあれば 激飛ばしたりモノ申したりするだろ,NEUTRAL (0.317),0.317,強く反対 (0.288),0.288
37,日本代表は年々強くなってるよね,POSITIVE (0.035),0.035,強く反対 (0.275),0.275
